Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8038379530916845,0.6475903614457831,0.5748663101604278,0.6090651558073654,0.8356727976766699
Decision Tree,0.7164179104477612,0.46612466124661245,0.45989304812834225,0.4629878869448183,0.6343317578725586
Random Forest,0.7903340440653873,0.6321070234113713,0.5053475935828877,0.5616641901931649,0.8343449586117999
KNN,0.7540867093105899,0.5374331550802139,0.5374331550802139,0.5374331550802139,0.7671971983372246
SVM,0.8017057569296375,0.6489028213166145,0.553475935828877,0.5974025974025974,0.8331232431369099
XGBoost,0.7896233120113717,0.6226415094339622,0.5294117647058824,0.5722543352601156,0.8369656936082539
